id,pokemon,rarity,grade,shiny,preis
38,Vulnona,Uncommon,Elite,0,1.94
38,Vulnona,Uncommon,Perfekt,0,2.45
38,Vulnona,Uncommon,Wild,1,2.52
38,Vulnona,Uncommon,Trainiert,1,3.06
38,Vulnona,Uncommon,Kampfbereit,1,3.60
38,Vulnona,Uncommon,Elite,1,4.86
38,Vulnona,Uncommon,Perfekt,1,6.12
39,Pummeluff,Common,Wild,0,0.14
39,Pummeluff,Common,Trainiert,0,0.17
39,Pummeluff,Common,Kampfbereit,0,0.20
39,Pummeluff,Common,Elite,0,0.27
39,Pummeluff,Common,Perfekt,0,0.34
39,Pummeluff,Common,Wild,1,0.35
39,Pummeluff,Common,Trainiert,1,0.43
39,Pummeluff,Common,Kampfbereit,1,0.50
39,Pummeluff,Common,Elite,1,0.68
39,Pummeluff,Common,Perfekt,1,0.85
40,Knuddeluff,Uncommon,Wild,0,0.30
40,Knuddeluff,Uncommon,Trainiert,0,0.37
40,Knuddeluff,Uncommon,Kampfbereit,0,0.43
40,Knuddeluff,Uncommon,Elite,0,0.58
40,Knuddeluff,Uncommon,Perfekt,0,0.73
40,Knuddeluff,Uncommon,Wild,1,0.75
40,Knuddeluff,Uncommon,Trainiert,1,0.91
40,Knuddeluff,Uncommon,Kampfbereit,1,1.08
40,Knuddeluff,Uncommon,Elite,1,1.45
40,Knuddeluff,Uncommon,Perfekt,1,1.83
41,Zubat,Uncommon,Wild,0,0.34
41,Zubat,Uncommon,Trainiert,0,0.42
41,Zubat,Uncommon,Kampfbereit,0,0.49
41,Zubat,Uncommon,Elite,0,0.66
41,Zubat,Uncommon,Perfekt,0,0.83
41,Zubat,Uncommon,Wild,1,0.86
41,Zubat,Uncommon,Trainiert,1,1.04
41,Zubat,Uncommon,Kampfbereit,1,1.23
41,Zubat,Uncommon,Elite,1,1.65
41,Zubat,Uncommon,Perfekt,1,2.08
42,Golbat,Uncommon,Wild,0,0.69
42,Golbat,Uncommon,Trainiert,0,0.83
42,Golbat,Uncommon,Kampfbereit,0,0.98
42,Golbat,Uncommon,Elite,0,1.32
42,Golbat,Uncommon,Perfekt,0,1.67
42,Golbat,Uncommon,Wild,1,1.72
42,Golbat,Uncommon,Trainiert,1,2.08
42,Golbat,Uncommon,Kampfbereit,1,2.45
42,Golbat,Uncommon,Elite,1,3.31
42,Golbat,Uncommon,Perfekt,1,4.17
43,Myrapla,Uncommon,Wild,0,0.35
43,Myrapla,Uncommon,Trainiert,0,0.43
43,Myrapla,Uncommon,Kampfbereit,0,0.50
43,Myrapla,Uncommon,Elite,0,0.68
43,Myrapla,Uncommon,Perfekt,0,0.85
43,Myrapla,Uncommon,Wild,1,0.88
43,Myrapla,Uncommon,Trainiert,1,1.06
43,Myrapla,Uncommon,Kampfbereit,1,1.25
43,Myrapla,Uncommon,Elite,1,1.69
43,Myrapla,Uncommon,Perfekt,1,2.13
44,Duflor,Uncommon,Wild,0,0.68
44,Duflor,Uncommon,Trainiert,0,0.82
44,Duflor,Uncommon,Kampfbereit,0,0.97
44,Duflor,Uncommon,Elite,0,1.31
44,Duflor,Uncommon,Perfekt,0,1.65
44,Duflor,Uncommon,Wild,1,1.70
44,Duflor,Uncommon,Trainiert,1,2.06
44,Duflor,Uncommon,Kampfbereit,1,2.42
44,Duflor,Uncommon,Elite,1,3.27
44,Duflor,Uncommon,Perfekt,1,4.12
45,Giflor,Rare,Wild,0,2.11
45,Giflor,Rare,Trainiert,0,2.57
45,Giflor,Rare,Kampfbereit,0,3.02
45,Giflor,Rare,Elite,0,4.08
45,Giflor,Rare,Perfekt,0,5.13
45,Giflor,Rare,Wild,1,5.29
45,Giflor,Rare,Trainiert,1,6.42
45,Giflor,Rare,Kampfbereit,1,7.55
45,Giflor,Rare,Elite,1,10.25
45,Giflor,Rare,Perfekt,1,12.75
46,Paras,Common,Wild,0,0.15
46,Paras,Common,Trainiert,0,0.19
46,Paras,Common,Kampfbereit,0,0.22
46,Paras,Common,Elite,0,0.30
46,Paras,Common,Perfekt,0,0.37
46,Paras,Common,Wild,1,0.39
46,Paras,Common,Trainiert,1,0.47
46,Paras,Common,Kampfbereit,1,0.55
46,Paras,Common,Elite,1,0.74
46,Paras,Common,Perfekt,1,0.94
47,Parasek,Uncommon,Wild,0,0.37
47,Parasek,Uncommon,Trainiert,0,0.45
47,Parasek,Uncommon,Kampfbereit,0,0.53
47,Parasek,Uncommon,Elite,0,0.72
47,Parasek,Uncommon,Perfekt,0,0.90
47,Parasek,Uncommon,Wild,1,0.93
47,Parasek,Uncommon,Trainiert,1,1.13
47,Parasek,Uncommon,Kampfbereit,1,1.33
47,Parasek,Uncommon,Elite,1,1.79
47,Parasek,Uncommon,Perfekt,1,2.25
48,Bluzuk,Common,Wild,0,0.17
48,Bluzuk,Common,Trainiert,0,0.20
48,Bluzuk,Common,Kampfbereit,0,0.24
48,Bluzuk,Common,Elite,0,0.32
48,Bluzuk,Common,Perfekt,0,0.41
48,Bluzuk,Common,Wild,1,0.42
48,Bluzuk,Common,Trainiert,1,0.51
48,Bluzuk,Common,Kampfbereit,1,0.60
48,Bluzuk,Common,Elite,1,0.81
48,Bluzuk,Common,Perfekt,1,1.02
49,Omot,Uncommon,Wild,0,0.41
49,Omot,Uncommon,Trainiert,0,0.49
49,Omot,Uncommon,Kampfbereit,0,0.58
49,Omot,Uncommon,Elite,0,0.78
49,Omot,Uncommon,Perfekt,0,0.99
49,Omot,Uncommon,Wild,1,1.01
49,Omot,Uncommon,Trainiert,1,1.23
49,Omot,Uncommon,Kampfbereit,1,1.45
49,Omot,Uncommon,Elite,1,1.96
49,Omot,Uncommon,Perfekt,1,2.47
50,Digda,Common,Wild,0,0.15
50,Digda,Common,Trainiert,0,0.18
50,Digda,Common,Kampfbereit,0,0.21
50,Digda,Common,Elite,0,0.28
50,Digda,Common,Perfekt,0,0.36
50,Digda,Common,Wild,1,0.37
50,Digda,Common,Trainiert,1,0.45
50,Digda,Common,Kampfbereit,1,0.53
50,Digda,Common,Elite,1,0.71
50,Digda,Common,Perfekt,1,0.89
51,Digdri,Uncommon,Wild,0,0.39
51,Digdri,Uncommon,Trainiert,0,0.47
51,Digdri,Uncommon,Kampfbereit,0,0.55
51,Digdri,Uncommon,Elite,0,0.74
51,Digdri,Uncommon,Perfekt,0,0.94
51,Digdri,Uncommon,Wild,1,0.96
51,Digdri,Uncommon,Trainiert,1,1.17
51,Digdri,Uncommon,Kampfbereit,1,1.38
51,Digdri,Uncommon,Elite,1,1.86
51,Digdri,Uncommon,Perfekt,1,2.34
52,Mauzi,Uncommon,Wild,0,0.33
52,Mauzi,Uncommon,Trainiert,0,0.40
52,Mauzi,Uncommon,Kampfbereit,0,0.47
52,Mauzi,Uncommon,Elite,0,0.63
52,Mauzi,Uncommon,Perfekt,0,0.80
52,Mauzi,Uncommon,Wild,1,0.82
52,Mauzi,Uncommon,Trainiert,1,1.00
52,Mauzi,Uncommon,Kampfbereit,1,1.17
52,Mauzi,Uncommon,Elite,1,1.59
52,Mauzi,Uncommon,Perfekt,1,2.00
53,Snobilikat,Uncommon,Wild,0,1.04
53,Snobilikat,Uncommon,Trainiert,0,1.27
53,Snobilikat,Uncommon,Kampfbereit,0,1.49
53,Snobilikat,Uncommon,Elite,0,2.01
53,Snobilikat,Uncommon,Perfekt,0,2.53
53,Snobilikat,Uncommon,Wild,1,2.61
53,Snobilikat,Uncommon,Trainiert,1,3.17
53,Snobilikat,Uncommon,Kampfbereit,1,3.73
53,Snobilikat,Uncommon,Elite,1,5.03
53,Snobilikat,Uncommon,Perfekt,1,6.33
54,Enton,Common,Wild,0,0.13
54,Enton,Common,Trainiert,0,0.15
54,Enton,Common,Kampfbereit,0,0.18
54,Enton,Common,Elite,0,0.24
54,Enton,Common,Perfekt,0,0.31
54,Enton,Common,Wild,1,0.32
54,Enton,Common,Trainiert,1,0.38
54,Enton,Common,Kampfbereit,1,0.45
54,Enton,Common,Elite,1,0.61
54,Enton,Common,Perfekt,1,0.77
55,Entoron,Uncommon,Wild,0,0.41
55,Entoron,Uncommon,Trainiert,0,0.50
55,Entoron,Uncommon,Kampfbereit,0,0.59
55,Entoron,Uncommon,Elite,0,0.80
55,Entoron,Uncommon,Perfekt,0,1.00
55,Entoron,Uncommon,Wild,1,1.03
55,Entoron,Uncommon,Trainiert,1,1.25
55,Entoron,Uncommon,Kampfbereit,1,1.48
55,Entoron,Uncommon,Elite,1,1.99
55,Entoron,Uncommon,Perfekt,1,2.51
56,Menki,Uncommon,Wild,0,1.27
56,Menki,Uncommon,Trainiert,0,1.54
56,Menki,Uncommon,Kampfbereit,0,1.81
56,Menki,Uncommon,Elite,0,2.44
56,Menki,Uncommon,Perfekt,0,3.08
56,Menki,Uncommon,Wild,1,3.17
56,Menki,Uncommon,Trainiert,1,3.85
56,Menki,Uncommon,Kampfbereit,1,4.53
56,Menki,Uncommon,Elite,1,6.11
56,Menki,Uncommon,Perfekt,1,7.69
57,Rasaff,Rare,Wild,0,3.21
57,Rasaff,Rare,Trainiert,0,3.90
57,Rasaff,Rare,Kampfbereit,0,4.59
57,Rasaff,Rare,Elite,0,6.20
57,Rasaff,Rare,Perfekt,0,7.80
57,Rasaff,Rare,Wild,1,8.03
57,Rasaff,Rare,Trainiert,1,9.75
57,Rasaff,Rare,Kampfbereit,1,11.50
57,Rasaff,Rare,Elite,1,15.50
57,Rasaff,Rare,Perfekt,1,19.50
58,Fukano,Uncommon,Wild,0,1.37
58,Fukano,Uncommon,Trainiert,0,1.67
58,Fukano,Uncommon,Kampfbereit,0,1.96
58,Fukano,Uncommon,Elite,0,2.65
58,Fukano,Uncommon,Perfekt,0,3.33
58,Fukano,Uncommon,Wild,1,3.43
58,Fukano,Uncommon,Trainiert,1,4.17
58,Fukano,Uncommon,Kampfbereit,1,4.90
58,Fukano,Uncommon,Elite,1,6.62
